Attack/Campaign Name,Targetted Infrastructure,Year,Sophistication,Scale,Country,Scale,Attacker Type,Initial Access,Impact,Attacker Name,Story
PLC Password change,Pulp and Paper,1988,Low,Specific,Canada,Specific,Insider,Insider priviledges,Disruption,"Not officially named, disgruntled employee","This incident is one of the earliest instances of Industrial Control System (ICS) hacking was reported at a pulp and paper plant in Canada. An angry employee used an Allen-Bradley DH+ to access and change the password of a PLC-5 to something obscene, thereby blocking maintenance access. The original password was allegedly found on a post-it note. The attack resulted in the PLC being shut down to clear its memory and reload the program, causing a brief system shutdown and loss of staff time."
Salt River Project Hack,Power and Utilities,1994,Moderate,Specific,US,Specific,Hacker,External Remote Services ,"Disruption, Finanical loss",Lane Jarret Davis,"Lane Jarret Davis accessed the Salt River Project's (SRP) systems via a dial-up modem, targeting a backup computer. Davis was able to infiltrate and delete files on systems responsible for monitoring and delivering water and power, as well as access customer, financial, and personnel records. While reports on the exact impact vary, it is confirmed that Davis accessed the canal control SCADA system for at least 5 hours, causing SRP an estimated loss of $40,000, excluding productivity losses. Claims that Davis controlled the Roosevelt Dam spill gates were debunked, as the canal and dam SCADA systems were not connected."
Worcester Air Traffic Communications System Hack,Transportation,1997,Low,Specific,US,Specific,Hacker,External Remote Services,Disruption,Unknown,"A juvenile hacker accessed a Bell Atlantic control system used for air traffic communications at Worcester Airport, Massachusetts, causing a six-hour system crash. This attack disabled the phone system at the airport, affecting the control tower, airport security, the fire department, weather services, and runway light controls. Additionally, phone service to 600 homes in the nearby town of Rutland was disrupted. The hacker exploited the Next Generation Digital Loop Carrier (NGDLC) systems, which were accessible via modem for remote maintenance. This incident highlighted vulnerabilities in remote access systems and resulted in significant disruptions to critical infrastructure and services."
Maroochy Water Attack,Water,2000,Low,Specific,Australia,Specific,Insider,Wireless Compromise,Disruption,Vitek Boden,"In a significant cyberattack on Maroochy Water Services in Australia, Vitek Boden, a former contractor, conducted a series of attacks between February and April 2000. Using stolen radio equipment and a laptop, Boden accessed the SCADA system controlling the sewage infrastructure, issuing commands that resulted in 800,000 liters of raw sewage spilling into local environments, including parks and a hotel. This attack caused severe environmental damage, killing marine life and producing a strong stench. Boden's actions highlighted vulnerabilities in industrial control systems, especially regarding inadequate security policies, lack of monitoring, and insufficient control over contractor access. He was eventually caught and sentenced to two years in jail."
Ski Gondola Worker Shutdown Control System,Transportation,2002,Low,Specific,US,Specific,Insider,Insider priviledges,Disruption,"Not officially named, 19-year-old woman","Alisha Sult, a 19-year-old operator at the Telluride Ski Resort's gondola system in Colorado, was arrested for allegedly tampering with the control system, causing 33 shutdowns over three days during the resort's busiest week of the winter season. The shutdowns, mostly lasting under a minute, occurred from December 26 to 28, 2002. Although there were no evacuations or immediate danger to passengers, snowmobiles had to transport 40 people from a mountaintop restaurant during a 1-hour and 20-minute shutdown on December 27. Sult faced felony charges for endangering public transportation and was released on bail pending trial."
Hackers Crash Controller via Web Service ,Electronic Manufacturing,2002,Moderate,Specific,UK,Specific,Hackers,Exploit Public-Facing Application,Disruption,"Attributed to ""Chinese"" hackers","Hackers exploited vulnerabilities in the control systems of an electronic manufacturing company in the United Kingdom. The attacks involved opening connections to the device without closing them, which exhausted all available connections, and sending a web page with malicious JavaScript that caused the controller to reset, turning off all outputs. This resulted in the ethernet port becoming unavailable and the controller repeatedly resetting. The company’s engineers spent 3-4 weeks identifying and fixing these issues, including updating device code to close connections properly and collaborating with a TCP stack vendor for additional fixes. Enhanced internal firewalls and collaboration with IT departments were recommended to prevent such attacks in the future."
Trojan Backdoor on Water SCADA System,Water/Waste Water,2004,Moderate,Specific,Canada,Specific,Unknown,Drive-by Compromise,None,Unknown,"During a  security audit of a Canadian water SCADA system, a trojan backdoor was discovered on a human-machine interface (HMI) computer. The trojan included a keylogger and a reverse tunnel to an external website, believed to have been introduced through an operator's use of external email websites. Although the firewall blocked the reverse tunnel, it did not prevent the keylogger, which used SMTP for data transport. The HMI was part of the regional government's enterprise network, with multiple Internet access points. No impact was reported, and subsequent actions included modifying firewalls to block HTTP access from SCADA systems and implementing antivirus measures across all SCADA computers."
Trojan Found on SCADA Server in Russia,General Manufacturing,2006,Moderate,Specific,Russia,Specific,Unknown,Replication Through Removable Media,Disruption,Unknown,"A redundant SCADA server pair in a Russian general manufacturing plant experienced communication issues. During troubleshooting, antivirus software revealed multiple instances of the 'Generic Backdoor.k' trojan on one server, which was then cleaned. The USB hard disk used for creating hard drive images was also found to be infected, though it was unclear if this was the source of the trojan as the plant had just been commissioned and used removable media for modifications. The incident led to a ban on removable media on-site and required several engineers to test all machines on the LAN."
Hack of L.A.'s Traffic Grid,Transportation,2006,Moderate,Specific,US,Specific,Hackers,Unknown,Disruption,"Gabriel Murillo, Kartik Patel","Two Los Angeles traffic engineers, Gabriel Murillo and Kartik Patel, hacked into the city’s traffic signal system during a labor dispute in 2006. They manipulated the signal lights at four major intersections, including one at Los Angeles International Airport, causing prolonged red lights and significant traffic congestion. Despite the disruption, no accidents were reported. The hack was executed by altering computer codes to prevent reprogramming of the signals for four days. Murillo and Patel were charged with unauthorized access and disruption of computer services, resulting in probation, fines, and community service."
Harrisburg  water utility compromise,Water,2006,Moderate,Specific,US,Specific,Hackers,Drive-by Compromise,Unauthorised access,Unknown,"In October 2006, the Harrisburg, Pennsylvania water treatment facility's SCADA system was compromised through an employee's infected laptop. The infection likely occurred via a drive-by compromise while browsing external websites, leading to the installation of malware and spyware. Although the attackers did not intentionally target the water plant, the malware raised concerns about potential operational disruptions, such as altering chlorine levels. The FBI investigated the incident, noting the attackers likely aimed to use the compromised computer for broader malicious activities rather than directly harming the water plant. This incident highlights vulnerabilities in SCADA systems within the water industry."
California Canal System Hack,Water/Waste Water,2007,Moderate,Specific,US,Specific,Insider,Insider priviledges,"Financial loss, disruption",Michael Keehn,"Michael Keehn, a former electrical supervisor with the Tehama Colusa Canal Authority (TCAA) in California, was charged in 2007 with installing unauthorized software on the SCADA system used to divert water from the Sacramento River. Keehn allegedly accessed and damaged the protected computer system around August 15, leading to potential operational disruptions. The unauthorized software installation caused more than $5,000 in damages. Despite the breach, the canal systems could still operate manually if the SCADA system was offline. Keehn faces charges of computer fraud, which could result in up to 10 years in prison."
