Attack/Campaign Name,Targetted Infrastructure,Year,Sophistication,Scale,Country,Attacker Type,Initial Access,Impact,Attacker Name,Story,Reference1,Reference2
PLC password change,Manufacturing (Pulp and Paper),1988,Low,[x],Canada,Insider,Insider Access,[x],Disgruntled employee (not officially named),"One of the first reported cases of plant floor �hacking� occurred in 1988 on an Allen-Bradley DH+, which was used by an angry worker to modify a different department�s PLC-5. The individual changed the password to something obscene, blocking all maintenance access to the system. It was believed that the employee found the original password on a post-it note.",https://www.risidata.com/Database/Detail/plc-password-change,
Salt River Project hack,"Energy, Water",1994,Medium,[x],US,Hacker,External Remote Services ,[x],Lane Jarret Davis,"Lane Jarret Davis accessed the Salt River Project's (SRP) systems via a dial-up modem, targeting a backup computer. Davis was able to infiltrate and delete files on systems responsible for monitoring and delivering water and power, as well as access customer, financial, and personnel records. While reports on the exact impact vary, it is confirmed that Davis accessed the canal control SCADA system for at least 5 hours, causing SRP an estimated loss of $40,000, excluding productivity losses. Claims that Davis controlled the Roosevelt Dam spill gates were debunked, as the canal and dam SCADA systems were not connected.",https://www.risidata.com/Database/Detail/salt-river-project-hack,
Maroochy Water Attack,Water,2000,Medium,[x],Australia,Insider,"Wireless Compromise, External Remote Services ,  Rogue Master",[x],Vitek Boden,"In a significant cyberattack on Maroochy Water Services in Australia, Vitek Boden, a former contractor, conducted a series of attacks between February and April 2000. Using stolen radio equipment and a laptop, Boden accessed the SCADA system controlling the sewage infrastructure, issuing commands that resulted in 800,000 liters of raw sewage spilling into local environments, including parks and a hotel. This attack caused severe environmental damage, killing marine life and producing a strong stench. Boden's actions highlighted vulnerabilities in industrial control systems, especially regarding inadequate security policies, lack of monitoring, and insufficient control over contractor access. He was eventually caught and sentenced to two years in jail.",https://www.mitre.org/sites/default/files/pdf/08_1145.pdf,
Cal - ISO system controlling electricity flow hacked,Energy,2001,Medium,[x],US,Hackers,External Remote Services ,[x],Unknown,"A computer system that controls much of the flow of electricity across California was under siege from hackers for at least 17 days during the height of the state's ongoing power crisis, the Los Angeles Times reported Saturday.

The cyber attack, while apparently limited, exposed security lapses in the system that the California Independent Systems Operator (Cal-ISO) uses to oversee most of the state's massive electricity transmission grid and connect to the grid for the Western United States.

While some familiar with the breach said hackers came close to gaining access to key parts of the system and could have interrupted the movement of electricity around the power-hungry state, officials at Cal-ISO said the grid was not threatened and that they had remedied the situation.",https://www.deseret.com/2001/6/10/19590720/hackers-hit-california-power-grid-computers/,
Process control server infected with Nimda,Food,2001,Low,[x],US,Unknown,External Remote Services ,[x],Unknown,"A major manufacturing company had implemented a complete anti-virus program for their IT environment and the access to the IT systems was restricted to approved gateways and firewalls. However, the process control environment was under the control of a different department, which did not implement anti-virus protection or controlled access. Late one night, a control engineer working on a production problem logged in from home. He dialed directly into one of the process control servers, something that had been done countless times before. However, in this particular case, his personal PC at home had been infected with the Nimda virus. It did not take long for the virus to spread across the production environment, which was not prepared for this type of threat.",https://www.risidata.com/Database/Detail/nimda-impact-on-manufacturing-system,
Ski gondola worker shutdown control system,Transport,2002,Low,[x],US,Insider,Insider Access,[x],19-year-old woman (not officially named),"Alisha Sult, a 19-year-old operator at the Telluride Ski Resort's gondola system in Colorado, was arrested for allegedly tampering with the control system, causing 33 shutdowns over three days during the resort's busiest week of the winter season. The shutdowns, mostly lasting under a minute, occurred from December 26 to 28, 2002. Although there were no evacuations or immediate danger to passengers, snowmobiles had to transport 40 people from a mountaintop restaurant during a 1-hour and 20-minute shutdown on December 27. Sult faced felony charges for endangering public transportation and was released on bail pending trial.",https://www.risidata.com/Database/Detail/ski-gondola-worker-shutdown-control-system,
Hackers crash controller via web service ,Manufacturing (Electronic),2002,Medium,[x],UK,Hackers,Exploit Public-Facing Application,[x],Suspected Chinese hackers,"Hackers exploited vulnerabilities in the control systems of an electronic manufacturing company in the United Kingdom. The attacks involved opening connections to the device without closing them, which exhausted all available connections, and sending a web page with malicious JavaScript that caused the controller to reset, turning off all outputs. This resulted in the ethernet port becoming unavailable and the controller repeatedly resetting. The company�s engineers spent 3-4 weeks identifying and fixing these issues, including updating device code to close connections properly and collaborating with a TCP stack vendor for additional fixes. Enhanced internal firewalls and collaboration with IT departments were recommended to prevent such attacks in the future.",https://www.risidata.com/Database/Detail/hackers-crash-controller-via-web-service,
Infected new HMI infects chemical plant DCS in Europe with Blaster,Chemicals,2003,Low,[x],Unknown,Unknown,Supply Chain Compromise,[x],Unknown,A vendor/contractor built a new HMI on their own premises & network and did not install all appropriate security patches. The HMI became infected with a worm (possibly blaster). The HMI was walked past the PCN firewall and was connected to the PCN when it infected other machines on the DCS.,https://www.risidata.com/Database/Search_Results/search&keywords=Infected+New+HMI+Infects+Chemical+Plant+DCS/,
Nachi worm infected advanced process control servers,Chemicals,2003,Low,[x],France,Unknown,Unknown,[x],Unknown,Staff noticed that the Advanced Process Controls (APC) Servers were getting slower and slower. Investigators found Nachi virus on 8 APCs (running Windows 2000) and disconnected these servers from production network for 5 hours.,https://www.risidata.com/Database/Detail/nachi-worm-on-advanced-process-control-servers,
Water control system infected with a virus,Water,2003,Low,[x],Australia,Unknown,Unknown,[x],Unknown,"An initial systems audit was conducted on all systems from HMI through to control electronics to establish system baseline status for each telemetry control system.
Water Control system was performing poorly and database errors were suspected. System patches were not current and virus software version was out of date. The system crashed while checking performance issues. The Blaster virus was then discovered.",https://www.risidata.com/Database/Detail/baseline-audit-uncovers-virus-in-water-control-system,
